Dataset,Train loss,Train accuracy,Test loss,Test accuracy
ArrowHead,1.3692129869014025e-05,1.0,5.680030822753906,0.7371428608894348
Wine,0.6917888522148132,0.5263158082962036,0.69425368309021,0.5
OliveOil,1.282213807106018,0.4333333373069763,1.29848051071167,0.4000000059604645
Car,0.18691247701644897,0.9333333373069763,1.4104944467544556,0.6333333253860474
BeetleFly,0.0,1.0,4.37761116027832,0.800000011920929
Yoga,0.6893885135650635,0.5433333516120911,0.6906943321228027,0.5356666445732117
InlineSkate,1.7426960468292236,0.25999999046325684,3.9226233959198,0.20363636314868927
FaceAll,2.6103122234344482,0.08214285969734192,2.632382869720459,0.040236685425043106
Ham,1.421761997022486e-08,1.0,7.896138668060303,0.6476190686225891
MoteStrain,0.0,1.0,3.9749958515167236,0.8123003244400024
ProximalPhalanxTW,0.2818532884120941,0.8924999833106995,0.6487206220626831,0.795121967792511
WordSynonyms,2.3293278217315674,0.2808988690376282,4.058907985687256,0.23040752112865448
Lightning7,1.362391799375473e-08,1.0,5.759297847747803,0.6164383292198181
GunPointOldVersusYoung,1.0606081701780568e-07,1.0,3.354231357574463,0.9396825432777405
Earthquakes,0.0,1.0,94.58960723876953,0.7338129281997681
