Dataset,Train loss,Train accuracy,Test loss,Test accuracy
ArrowHead,0.0021860909182578325,1.0,1.2451053857803345,0.6971428394317627
Wine,0.23007524013519287,0.8947368264198303,0.5221421122550964,0.7407407164573669
OliveOil,0.13256826996803284,1.0,0.3292676508426666,0.8999999761581421
Car,0.0003684730618260801,1.0,0.4172283113002777,0.8500000238418579
BeetleFly,0.0016787697095423937,1.0,0.7436102032661438,0.699999988079071
